Bonus 5 minut                        |  1 |  3 |  7 | 10 |  9 |  5 |   0.2042087542087542 |  16.30090563832895 |  21.26205083260298   21   25,
Bonus 10 minut                       |  4 |  4 |  4 |  4 |  4 |  7 |  0.17045454545454544 | 13.606485539000875 | 17.747589833479402   18   18,
Bonus 15 minut                       |  0 |  2 |  3 |  5 |  2 |  4 |   0.0877946127946128 |  7.008179959100205 |  9.141104294478529   9    9 ,
Bonus 20 minut                       |  0 |  0 |  1 |  1 |  0 |  1 | 0.013973063973063972 | 1.1153958515921705 | 1.4548641542506573   1    2 ,
Bonus 30 minut                       |  1 |  0 |  0 |  2 |  0 |  0 |  0.01590909090909091 | 1.2699386503067487 | 1.6564417177914113   2    0 ,
Veto                                 |  0 |  2 |  0 |  1 |  0 |  2 |  0.03156565656565657 |  2.519719544259422 | 3.2865907099035936   3    4 ,
Přesun                               |  0 |  0 |  0 |  0 |  0 |  1 | 0.004629629629629629 | 0.3695588664913818 | 0.4820333041191937   1    1 ,
Odhoď 1, dober si 2                  |  0 |  0 |  2 |  3 |  0 |  5 |  0.04562289562289562 | 3.6418346479696173 |  4.750219106047327   5    5 ,
Odhoď 2, dober si 3                  |  3 |  2 |  1 |  3 |  0 |  1 |  0.06506734006734007 |  5.193981887233421 |   6.77475898334794   7    5 ,
Náhodná otázka                       |  1 |  1 |  2 |  2 |  0 |  1 |  0.04090909090909091 | 3.2655565293602105 |  4.259421560035057   4    5 ,
Duplikát                             |  0 |  1 |  1 |  0 |  1 |  0 |  0.02239057239057239 |  1.787321063394683 | 2.3312883435582825   2    3 ,
Lízni kartu a zvyš kapacitu ruky o 1 |  0 |  0 |  1 |  1 |  0 |  0 | 0.009343434343434343 | 0.7458369851007888 | 0.9728308501314636   1    1 ,
Kletby                               | 10 |  3 |  8 | 12 |  6 |  9 |   0.2881313131313131 |               23.0 |               30.0   30   30,
==                                   | 20 | 18 | 30 | 44 | 22 | 36 |                  1.0 |  79.82471516213847 | 104.11919368974584   104  108

